lang,category,tokens,share,auroc,sd
en,invention,34153,0.46140,0.63784,0.01222
en,mischaracterization,21380,0.28884,0.62163,0.01606
en,OCR,2776,0.03750,0.81822,0.03609
en,miscounting,2089,0.02822,0.67118,0.04999
en,other,13623,0.18404,0.84904,0.03954
fr,invention,51169,0.65420,0.65986,0.01361
fr,mischaracterization,17232,0.22031,0.59441,0.01699
fr,OCR,913,0.01167,0.67030,0.02738
fr,miscounting,1120,0.01432,0.55583,0.01717
fr,other,7782,0.09949,0.62620,0.02052
it,invention,22449,0.42809,0.61910,0.01418
it,mischaracterization,13404,0.25561,0.62461,0.01362
it,OCR,1045,0.01993,0.78402,0.03276
it,miscounting,2536,0.04836,0.64675,0.05937
it,other,13006,0.24802,0.63725,0.04004
zh,invention,18074,0.38423,0.64460,0.00366
zh,mischaracterization,11939,0.25381,0.63249,0.00933
zh,OCR,1511,0.03212,0.86657,0.02832
zh,miscounting,1901,0.04041,0.79381,0.03059
zh,other,13615,0.28943,0.65352,0.02443
